"Parent’s age (years)","Parent’s sex","Parent’s education level","Employment status","Family type","Your average household income per month (BDT)","Child’s sex","Child’s age (years)","Number of children","Who is the leading child caregiver at home?","Are grandparents at home involved in treatment decisions when your child is ill?","antibiotic_knowledge","attitude","practice","kap_score","Information provided by pharmaceutical companies leaflet","Information from prescribers","Information from dispensers","Information from nurses","Information given by a colleague","Information from University courses","Internet","Social media","Others...49"
"> 45","Male","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10",">= 3","Father","Often",33.3333333333333,65,50,49.4444444444444,0,1,0,0,0,0,0,0,1
"36–45","Female","Postgraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",91.6666666666667,65,50,68.8888888888889,0,1,0,0,0,0,0,0,0
"36–45","Male","Postgraduate","Employed","Nuclear family","Middle (less than 50000 BDT)","Female","< 5","1","Mother","Always",79.1666666666667,65,66.6666666666667,70.2777777777778,0,1,0,0,0,0,0,0,0
"36–45","Male","Postgraduate","Self employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never",33.3333333333333,45,100,59.4444444444444,0,1,0,0,0,0,0,1,0
"36–45","Male","Postgraduate","Self employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","1","Mother","Never",62.5,65,33.3333333333333,53.6111111111111,1,0,0,0,0,0,0,1,0
"36–45","Male","Secondary","Self employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never",75,70,83.3333333333333,76.1111111111111,0,1,0,0,0,0,0,0,0
"36–45","Female","Postgraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9",">= 3","Mother","Never",20.8333333333333,75,50,48.6111111111111,1,1,0,0,0,0,0,0,0
"36–45","Female","Postgraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Never",95.8333333333333,70,50,71.9444444444444,0,1,0,0,0,0,0,0,0
"36–45","Male","Undergraduate","Self employed","Single parent family","Low (less than 30000 BDT)","Male","> 10",">= 3","Mother","Never",75,75,66.6666666666667,72.2222222222222,0,1,0,0,0,0,1,1,0
"36–45","Male","Secondary","Self employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Never",12.5,55,66.6666666666667,44.7222222222222,0,1,0,0,0,0,0,0,0
"36–45","Male","Postgraduate","Self employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never",16.6666666666667,45,100,53.8888888888889,0,0,0,0,0,0,1,1,0
"36–45","Male","Secondary","Self employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Grandmother","Sometimes",45.8333333333333,70,33.3333333333333,49.7222222222222,0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Single parent family","Low (less than 30000 BDT)","Female","> 10","1","Mother","Sometimes",45.8333333333333,70,33.3333333333333,49.7222222222222,0,1,0,0,0,0,0,0,0
"25–35","Female","Postgraduate","Not employed","Nuclear family","Low (less than 30000 BDT)","Male","5–9","1","Mother","Never",70.8333333333333,65,50,61.9444444444444,0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never",62.5,75,66.6666666666667,68.0555555555556,0,1,1,0,0,0,1,1,0
"25–35","Female","Postgraduate","Not employed","Extended family","High (greater than 50000 BDT)","Female","< 5","1","Mother","Never",75,65,66.6666666666667,68.8888888888889,1,1,0,0,0,0,1,1,1
"25–35","Female","Postgraduate","Not employed","Extended family","Middle (less than 50000 BDT)","Female","< 5","1","Mother","Never",58.3333333333333,70,66.6666666666667,65,0,1,1,0,0,0,0,1,0
"25–35","Female","Secondary","Not employed","Extended family","Low (less than 30000 BDT)","Female","5–9","2","Mother","Sometimes",79.1666666666667,65,50,64.7222222222222,0,0,0,0,0,0,1,0,0
